Date,Agent Name,Call Type,Client Name ,Number,Problem Type,escalation ,Pod time/ ticket,Ticket,Ticket Status,Department,Outbound Type ,Call Source,Remarks
12/17/2024,Nikita Shrestha ,OUT,Shreejana-Dev-Center-Besisahar-Lamjung-FTTx,9856019011,Intranet / VPN,,,,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,,,,already opened,,,,
12/17/2024,Kshitiz Kamu Magar,IN,Global-Ime-Bank-Powerhouse-Lekhnath,9861071588,Intranet / VPN,,,64098,already opened,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,OUT,Nic-Asia-Laghubitta-Sanstha-Hattisudhe-FTTx,9802269061,Intranet / VPN,13-12-2024 09:42:01,,63878,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Muktinath-Bank-Lahan-FTTX,9802306818,Intranet / VPN,,,,OPEN,CORPORATE,Client Follow up,X-Lite,
12/17/2024,Ruksana Shrestha ,OUT,Kumari-Bank-Surkhet-First-Branch,9858062444,Intranet / VPN,17-12-2024 10:03:39,,,already opened,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,OUT,Nepal-Bank-Surkhet-Birendranagar-FTTH,9849836853,Intranet / VPN,16-12-2024 13:35:30,,64150,already opened,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Muktinath-Bikash-Bank-Begnastal-SM,9802306129,Wireless,15-12-2024 12:12:00,,64013,already opened,Operation,Client Follow up,X-Lite,
12/17/2024,Nikita Shrestha ,OUT,Muktinath-Bikash-Bank-kusma-ftth,9867773545,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,NIC-Asia-Bank-Dhangadi-regional-office-SM,9864751742,Intranet / VPN,17-12-2024 10:15:17,,64246,opened via VMDS,L2 Enterprise,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Muktinath-Bank-Lahan-FTTX,9802306818,Intranet / VPN,,,64240,CLOSED,CORPORATE,Client Follow up,X-Lite,
12/17/2024,Rebika Shrestha,OUT,Thakur-Pd-Sharma-Sinamangal-MD-Full-Bright-Consultancy-FO,9849681179,Intranet / VPN,,,,Not Opened,,,,
12/17/2024,Rebika Shrestha,OUT,Prabhu-Bank-Chormara-FTTx,9841262191,Intranet / VPN,16-12-2024 09:18:14,,64109,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Citizen-Bank-Bhume-FTTX,9801029523,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,X-Lite,
12/17/2024,Nikita Shrestha ,OUT,Citizen-Bank-Bhume-FTTX,9801029523,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,COR-26120-Thakur-Pd-Sharma-Sinamangal-MD-Full-Bright-Consultancy-FOC,9849681179,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,COR-26120-Thakur-Pd-Sharma-Sinamangal-MD-Full-Bright-Consultancy-FOC,9851140916,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,He will send the device status photo after 20min
12/17/2024,Nikita Shrestha ,OUT,Citizen-Bank-Bhume-FTTX,9801029523,No Internet ,,,,OPEN,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,OUT,Nic-Asia-Bank-ATM-Kapan-Milanchowk-FTTX,9860111255,Intranet / VPN,,,,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,,, SMS-ID-1106695-Nepal-Bank-Ltd-Rastriya-Bima-Sansthan-Singadurbar,9861566123,Intranet / VPN,,,64251,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,no electricity
12/17/2024,Rebika Shrestha,IN,Nepal-Bank-Surkhet-Birendranagar-FTTH,83523764,Intranet / VPN,,,64150,already opened,,,,
12/17/2024,Rebika Shrestha,IN, Global-Ime-Jogbuda-EXT-CounterFTTx,9806468191,Intranet / VPN,,,64111,already opened,CORPORATE,Client Follow up,X-Lite,Call is not receivable
12/17/2024,Rebika Shrestha,IN, Global-Ime-Jogbuda-EXT-CounterFTTx,9806468191,Intranet / VPN,,,64111,already opened,CORPORATE,Client Follow up,X-Lite,Call is not receivable
12/17/2024,Anmol Shrestha,IN,Nic-Asia-Bank-ATM-Kapan-Milanchowk-FTTX,9802342301,Intranet / VPN,,,64082,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Global-IME-IRD-Ghartigaun-Rolpa-FTTx,9857830520,Intranet / VPN,,,64253,OPEN,L2 Enterprise,Client Follow up,X-Lite,
12/17/2024,Anmol Shrestha,OUT,Nic-Asia-Bank-ATM-Kapan-Milanchowk-FTTX,9802342301,Intranet / VPN,,,64082,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,Mega-Bank-Birendranagar-Surkhet-FTTX,9858044418,Intranet / VPN,,,64183,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,IN,Global-Ime-Bank-Powerhouse-Lekhnath,9861071588,No Internet ,,,,CLOSED,CORPORATE,,,
12/17/2024,Ruksana Shrestha ,IN,Nepal-Bank-Surkhet-Birendranagar-FTTH,9702640630,Intranet / VPN,,,64150,already opened,Operation,,,
12/17/2024,Ruksana Shrestha ,IN,Nepal-Bank-Surkhet-Birendranagar-SM,9702640630,Wireless,,,64256,OPEN,L2 Enterprise,,,
12/17/2024,Nikita Shrestha ,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,,,,already opened,Operation,,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,IN,Home-user,9810139819,,,,,Not Opened,Trasnfered,,,
12/17/2024,Rebika Shrestha,OUT,NIMB-Public-Health-Laboratory-Dhanusha-Madhesh-Pradesh-FTTX,9803894335,Intranet / VPN,,,64225,already opened,L2 Enterprise,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,NIC-Asia-Bank-Siddhapokhari-ATM-DIA-via-OLT,9802045949,Intranet / VPN,,,63623,already opened,CORPORATE,Client Follow up,NGUCC Panel,Call is not receuivable
12/17/2024,Kshitiz Kamu Magar,OUT,B29-Trishul-securities-NGT-FTTX,9851118097/ 9845833448,Intranet / VPN,,,,Not Opened,,Client Follow up,NGUCC Panel,As per client link is fine. mgnt down.
12/17/2024,Nikita Shrestha ,OUT,Prime-Bank-Jhiljhile-FTTX,9842654728,Intranet / VPN,,,64224,OPEN,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,"Prime-bank-ho, Rajat sir",984370055,General Inquries ,,,,Not Opened,,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,OUT,Laxmi-Sunrise-Bank-Dodhara-Chandani-Fttx,9848722480,Intranet / VPN,,,64257,already opened,L2 Enterprise,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,Malla-Travel-&-Trek-Services-samakhusi,9801217653,Intranet / VPN,,,63976,CLOSED,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Kshitiz Kamu Magar,OUT,Karmachari-Sanchaya-Kosh-Surkhet,9841252799 / 9849785231 ,Intranet / VPN,17-12-2024 11:40:03,,64258,CLOSED,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,Kumari-Bank-Limited-Birendranagar-Extension-Counter-Surkhet-Pradesh-Hospital-FTTx,9866519100,Intranet / VPN,17-12-2024 11:45:59,,64259,CLOSED,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,Nepal-Bank-Surkhet-Birendranagar-Extension-Counter-Surkhet-Pradesh-Hospital,9851144705,Intranet / VPN,,,,,,,,
12/17/2024,Kshitiz Kamu Magar,IN,Surya-life-ftth-jarankhu,9820106320,Intranet / VPN,17-12-2024 11:47:17,,64146,already opened,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Kshitiz Kamu Magar,OUT,B53-Investment-MGMT-Tripureshwor-FTTH-KTM,9861166346,Intranet / VPN,,,,Not Opened,,Client Follow up,NGUCC Panel,Was manually off. up now.
12/17/2024,Anmol Shrestha,IN,Global-Ime-Bank-Powerhouse-Lekhnath,9861071588,Intranet / VPN,16-12-2024 08:53:01,,64098,already opened,Operation,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,Prime-Bank-Gaurigunj-Sm,23412040,Intranet / VPN,17-12-2024 12:16:38,,64260,CLOSED,L2 Enterprise,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT,Tej shree apartment,9803220745,Intranet / VPN,,,,Not Opened,,,,
12/17/2024,Anmol Shrestha,IN,,14520871,General Inquries ,,,,Not Opened,,,,
12/17/2024,Ruksana Shrestha ,OUT,CUID-1230-Kusum-Hotel-Airport,9766281345,No Internet ,16-12-2024 08:52:09,,64099,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,IN,Laxmi-Bank-Gola-SM,9862317136,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,,9802846823,General Inquries ,,,,Not Opened,,,,
12/17/2024,Nikita Shrestha ,OUT,Nibl-Barathwa-Fttx,9845230588,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,IN,Sadhana-Laghubitta-Bittiya-Sanstha-FTTX-vlan374-hetauda,9802846823,Slow Internet,16-12-2024 11:18:17,,64129,already opened,L2 Enterprise,,,
12/17/2024,Ruksana Shrestha ,OUT,Jyoti-Bikash-Bank-Bhingri-FTTH,9802314126,Intranet / VPN,,,,Not Opened,,,,
12/17/2024,Rebika Shrestha,OUT,Surya-life-ftth-jarankhu,9820106320,Intranet / VPN,16-12-2024 12:51:58,,,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,16-12-2024 12:58:05,,64147,CLOSED,,,,
12/17/2024,Kshitiz Kamu Magar,IN,Laxmi-Bank-Gola-SM,9862317136,No Internet ,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,Link is fine now.
12/17/2024,Ruksana Shrestha ,OUT,Jyoti-Bikash-Bank-Bhingri-FTTH,9802314326,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,COR-11274-Broker-37-Swarna-Laxmi-Securities,9851070400,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,OUT,COR-11274-Broker-37-Swarna-Laxmi-Securities,9851070400,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,OUT,Jyoti-Bikash-Bank-Bhingri-FTTH,9864589345,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,IN,Tej-Shree-Apartment-Hotel-Pvt-Ltd-Block-A-Sanepa-Lalitpur-Fttx,9803427728,Intranet / VPN,17-12-2024 13:36:01,,,already opened,L2 Enterprise,,,
12/17/2024,Ruksana Shrestha ,OUT,Sadhana-Laghubitta-Bittiya-Sanstha-FTTX-vlan374-hetauda,9802846823,Intranet / VPN,16-12-2024 11:18:17,,64129,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,Ace-Hardware-Pvt-LTD-Teku-FTTx,9801023452,Intranet / VPN,16-12-2024 10:51:08,,64124,already opened,L2 Enterprise,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,IN,Laxmi-Bank-Gola-SM,9862317136,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Laxmi-Bank-Gola-SM,9862317136,Intranet / VPN,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,OUT,Prime-Bank-HO,9849873380,General Inquries ,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,IN,Relief-Nepal-sindhuli-FTTx,9846618856,Intranet / VPN,17-12-2024 14:27:02,,64271,CLOSED,L2 Enterprise,,,fine now
12/17/2024,Hari Dahal,OUT,Malla-Travel-&-Trek-Services-samakhusi,9801217653,No Internet ,,,,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Hari Dahal,OUT,Malla-Travel-&-Trek-Services-samakhusi,985-1075557,No Internet ,,,,,,,,
12/17/2024,Nikita Shrestha ,IN,Relief-Nepal-sindhuli-FTTx,9846618856,Intranet / VPN,,,,CLOSED,CORPORATE,,NGUCC Panel,
12/17/2024,Gaurab Sapkota,IN,Jalpa-Laghubitta-kohalabi-FTTX,9815414296,Intranet / VPN,,,63900,already opened,Operation,,NGUCC Panel,
12/17/2024,Hari Dahal,IN,Kumari-Bank-Limited-Birendranagar-Extension-Counter-Surkhet-Pradesh-Hospital-FTTx,9866519100,Intranet / VPN,,,,,,,,
12/17/2024,Hari Dahal,OUT,Kumari-Bank-Limited-Birendranagar-Extension-Counter-Surkhet-Pradesh-Hospital-FTTx,9866519100,Intranet / VPN,,,,already opened,,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,OUT,Prime-Bank-Gaurigunj-Sm,23412040,Intranet / VPN,,,,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,B35-kohinoor-Securities-POKHARA-FTTX,9856070009,General Inquries ,,,,Not Opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Anmol Shrestha,IN,,9826511423,General Inquries ,,,,Not Opened,Trasnfered,Client Follow up,NGUCC Panel,
12/17/2024,Hari Dahal,OUT,Tej-Shree-Apartment-Hotel-Pvt-Ltd-Block-A-Sanepa-Lalitpur-Fttx,9803427728,General Inquries ,,,,opened via VMDS,,Client Follow up,NGUCC Panel,
12/17/2024,Hari Dahal,OUT,Tej-Shree-Apartment-Hotel-Pvt-Ltd-Block-A-Sanepa-Lalitpur-Fttx,9803427728,General Inquries ,,,,already opened,,Client Follow up,NGUCC Panel,
12/17/2024,Hari Dahal,OUT,Tej-Shree-Apartment-Hotel-Pvt-Ltd-Block-A-Sanepa-Lalitpur-Fttx,9803427728,General Inquries ,,,,already opened,,Client Follow up,NGUCC Panel,
12/17/2024,Nikita Shrestha ,IN,COR-26120-Thakur-Pd-Sharma-Sinamangal-MD-Full-Bright-Consultancy-FOC,14568660,Intranet / VPN,,,64252,CLOSED,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Rebika Shrestha,OUT, Tej-Shree-Apartment-Hotel-Pvt-Ltd-Block-A-Sanepa-Lalitpur-Fttx,9803427728,Intranet / VPN,,,,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Hari Dahal,OUT, Tej-Shree-Apartment-Hotel-Pvt-Ltd-Block-A-Sanepa-Lalitpur-Fttx,9803427728,Slow Internet,,,,already opened,,Client Follow up,X-Lite,
12/17/2024,Ruksana Shrestha ,IN,Nic-Asia-Bank-ATM-Kapan-Milanchowk-FTTX,9802342301,General Inquries ,,,,already opened,CORPORATE,,,
12/17/2024,Ruksana Shrestha ,OUT,Sadhana-Laghubitta-Bittiya-Sanstha-FTTX-vlan374-hetauda,9802846823,General Inquries ,,,,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Ruksana Shrestha ,OUT,Sadhana-Laghubitta-Bittiya-Sanstha-FTTX-vlan374-hetauda,9802846823,General Inquries ,,,,already opened,CORPORATE,Client Follow up,NGUCC Panel,
12/17/2024,Hari Dahal,IN,Nic-Asia-Bank-ATM-Kapan-Milanchowk-FTTX,9802342301,General Inquries ,,,,,,,,
12/17/2024,Gaurab Sapkota,OUT,COR-26120-Thakur-Pd-Sharma-Sinamangal-MD-Full-Bright-Consultancy-FOC,,,,,,,,,,
12/17/2024,Rebika Shrestha,IN, Ganapati-Micro-Finance-Bittiya-Ratamata-SM,9810501257,Intranet / VPN,,,,OPEN,L2 Enterprise,,,
12/17/2024,Rebika Shrestha,IN,Suryodaya-Womi-Laghubitta-Jaleswor-PPPoE,9801967396,Intranet / VPN,,,,OPEN,Operation,,,
12/17/2024,Gaurab Sapkota,IN,American-Life-Insurance-Co-Metlife-Surkhet-FTTX,83521588,Intranet / VPN,,,64147,CLOSED,Operation,,NGUCC Panel,
12/17/2024,Gaurab Sapkota,IN,RBB-Tribhuwanchowk-Nepalgunj-FTTH-vlan562,9858032555,Intranet / VPN,,,64290,CLOSED,L2 Enterprise,,NGUCC Panel,
